id HYSS litter adj_age adj_bf
LLCFJYA20895507 11202022 11208955 177.12436036036 10.2064430331651
LLCFJYA19580210 11202042 11195802 141.4028 11.6749210926236
LLCFJYB19277910 12202042 12192779 185.507936052922 16.1541296601606
LLCFJYB19273107 12202042 12192731 149.826549019608 10.9779344876352
LLCFJYA17158713 11201812 11171587 148.123712230216 10.8263546260315
LLCFJYA18986514 11201922 11189865 173.563675023213 14.8902400576499
LLCFJYB20012006 12202022 12200120 177.289545350172 15.768921086103
LLCFJYA20404810 11202112 11204048 140.8490243978 13.9651765150085
LLCFJYB20476312 12202112 12204763 162.419156537753 15.9705982218648
LLCFJYA20400202 11202112 11204002 150.233949952541 16.5539742460467
LLCFJYB20122003 12202021 12201220 154.162941354904 16.572593591841
LLCFJYA20016607 11202032 11200166 174.329519013361 10.9871341251304
LLCFJYA20941711 11202032 11209417 198.723595959596 12.6459613403624
LLCFJYA18841309 11201912 11188413 156.682993020937 13.9594653283791
LLCFJYA18788705 11201942 11187887 153.639610948192 14.6733418548502
LLCFJYA20881211 11202022 11208812 153.955739824421 13.9772266065389
LLCFJYB19292707 12202042 12192927 175.427242009132 13.8639718418303
LLCFJYA20025704 11202031 11200257 159.118482792527 10.6289276296786
LLCFJYA17522011 11201722 11175220 150.292368794326 13.3464668647462
LLCFJYA18942707 11201912 11189427 152.84719967923 15.3340233566379
LLCFJYB20170001 12202031 12201700 151.052224489796 14.4740704283798
LLCFJYA15128501 11201521 11151285 156.093385589094 12.4809541833221
LLCFJYA19611304 11202042 11196113 151.272355916893 11.6893698197606
LLCFJYB19331305 12202011 12193313 152.362739130435 13.4541728141638
LLCFJYB20110603 12202021 12201106 142.215887892377 14.2486394644946
LLCFJYA20933301 11202021 11209333 192.977939313984 12.1938051901797
LLCFJYA18655809 11201842 11186558 147.987634651601 11.3206410080811
LLCFJYA20116505 11202031 11201165 154.372902985075 10.4852521205783
LLCFJYA19654102 11202011 11196541 137.562342512909 12.8318987383335
LLCFJYB20232009 12202031 12202320 156.653121212121 14.6983833877797
LLCFJYA19681303 11202011 11196813 173.215231678487 9.24843665140818
LLCFJYA19722501 11202011 11197225 147.831684410646 7.71993449013291
LLCFJYB19287507 12202041 12192875 166.292888667992 9.64520960620581
LLCFJYA19623115 11202012 11196231 160.56180876494 12.750633948802
LLCFJYB20466405 12202111 12204664 158.099515283843 11.606633200969
LLCFJYA20302707 11202111 11203027 184.108534027222 6.10462370787262
LLCFJYA18874708 11201912 11188747 165.825594202899 9.99661344944364
LLCFJYA19622503 11202011 11196225 159.224515392254 13.4111198893936
LLCFJYA19684002 11202011 11196840 181.879138479001 12.5093658973784
LLCFJYA19628015 11202012 11196280 169.661249190939 17.6468885070041
LLCFJYA20360104 11202112 11203601 191.353097237817 10.401401894452
LLCFJYA14027901 11201431 11140279 145.794076923077 11.2146995716066
LLCFJYB19288413 12202042 12192884 150.304940766551 12.0708377428777
LLCFJYA19615608 11202042 11196156 153.284109235353 14.5017449406336
LLCFJYA19623310 11202012 11196233 147.547215234721 14.8462806006109
LLCFJYA19731814 11202012 11197318 167.80293442623 18.0185700837338
LLCFJYA14102602 11201511 11141026 148.752631944444 12.8506832308418
LLCFJYA18753802 11201941 11187538 146.544159851301 12.1273857785079
LLCFJYA14033802 11201431 11140338 146.786766129032 15.1144786926533
LLCFJYA18833106 11201911 11188331 168.022419624217 8.33128580302298
LLCFJYA18797301 11201911 11187973 142.697933115824 6.58995656005553
LLCFJYA14074202 11201511 11140742 139.028316176471 10.7078716691574
LLCFJYB19400612 12202012 12194006 150.553013452915 14.1274702782737
LLCFJYA16710702 11201631 11167107 143.150239130435 15.8403092490282
LLCFJYB19221316 12201942 12192213 144.877166268894 14.4143704220439
LLCFJYA16625302 11201621 11166253 167.47499122807 10.1452537103787
LLCFJYA20288610 11202112 11202886 192.051894736842 6.93565580023394
LLCFJYA16343804 11201711 11163438 144.070943502825 14.1683285191776
LLCFJYA16337017 11201712 11163370 162.499915492958 17.5080494831384
