id HYSS litter adj_age adj_bf
YYCFJYA19554212 11202042 11195542 151.509728171334 12.8811984102721
YYCFJYB20218908 12202032 12202189 155.185783847981 10.0510892780863
YYCFJYA18927710 11201912 11189277 177.612502837684 8.97600984211606
YYCFJYA17069512 11201842 11170695 158.223617234469 8.01464664957891
YYCFJYA18939509 11201912 11189395 183.141744186047 17.2003352891869
YYCFJYB20199906 12202032 12201999 142.612916666667 12.7477051460362
YYCFJYB20285008 12202042 12202850 161.179875239923 12.7121436114044
YYCFJYA18631309 11201842 11186313 161.434398642095 13.6143593389017
YYCFJYA19149209 11201922 11191492 163.609072657744 24.9512451771308
YYCFJYB19360806 12202012 12193608 150.299015594542 12.5029632274188
YYCFJYA18950909 11201912 11189509 172.377888665998 15.0412314458494
YYCFJYA18636410 11201842 11186364 161.051184857424 12.8011517005579
YYCFJYB20272008 12202042 12202720 155.050135135135 10.4496844902026
YYCFJYA19138209 11201922 11191382 172.540518672199 14.4761904761905
YYCFJYA20387016 11202112 11203870 188.238828345567 14.6307174201449
YYCFJYB20406818 12202112 12204068 157.080254237288 14.9423728813559
YYCFJYB20357106 12202142 12203571 161.842389705882 13.6059539918809
YYCFJYA18304009 11201822 11183040 169.812502601457 12.443433769187
YYCFJYB20192906 12202032 12201929 178.103061617458 16.665353789787
YYCFJYA16245611 11201712 11162456 146.685655270655 15.2609377723549
YYCFJYA18662314 11201842 11186623 164.175675273088 18.8792445977846
YYCFJYB20321506 12202142 12203215 163.40668207024 14.2335260115607
YYCFJYA20967904 11202032 11209679 166.068209109731 13.2104111655979
YYCFJYA20300314 11202112 11203003 223.806696750903 11.5729655172414
YYCFJYB20503802 12202112 12205038 201.023865710561 13.4671929417228
YYCFJYA19113414 11201922 11191134 185.274550561798 13.3409183258838
YYCFJYB20177608 12202032 12201776 156.296443298969 13.1607666290868
YYCFJYA20384301 11202111 11203843 184.465330477356 10.9716072692943
YYCFJYA20153801 11202041 11201538 169.913888888889 12.7924709849194
YYCFJYB20253505 12202031 12202535 156.053993435449 12.3935445949917
YYCFJYA20115208 11202032 11201152 177.852429537768 11.2629305074384
YYCFJYB19218306 12201942 12192183 170.621030150754 12.0550761887277
YYCFJYA18985410 11201922 11189854 188.988068893528 13.5188141391106
YYCFJYB19272708 12202042 12192727 150.716118210863 15.5251336898396
YYCFJYB19379412 12202012 12193794 144.267263023057 13.4918918918919
YYCFJYA20044718 11202032 11200447 159.87325426945 14.0087774294671
YYCFJYA18894807 11201912 11188948 139.497859463851 15.68854685378
YYCFJYA17770011 11201742 11177700 166.443153153153 12.2540716612378
YYCFJYA18493809 11201832 11184938 164.645309072782 13.9617277200656
YYCFJYA18826708 11201912 11188267 177.262362514029 9.99553480819972
YYCFJYA19451010 11202042 11194510 185.876348684211 11.6923076923077
YYCFJYA18772907 11201942 11187729 162.835792079208 19.8189061934082
YYCFJYB20168306 12202032 12201683 158.510391211147 12.3564726494063
YYCFJYA18568514 11201832 11185685 161.390345167653 10.8610609888127
YYCFJYA18589306 11201832 11185893 179.591033934252 14.7692307692308
YYCFJYB19274713 12202042 12192747 184.162890295359 13.4385264773599
YYCFJYA19230712 11201922 11192307 200.952414965986 10.5560646250301
YYCFJYA17168913 11201812 11171689 162.300805763074 14.8551483420593
YYCFJYA17002214 11201842 11170022 167.771589147287 15.3615400040104
YYCFJYB19298505 12202042 12192985 167.89628342246 16.2660967553915
YYCFJYA18634911 11201842 11186349 185.306001267427 17.3438985736925
YYCFJYB20240310 12202032 12202403 155.064337410805 13.5349823321555
YYCFJYA18574912 11201832 11185749 148.873167330677 18.6536238328146
YYCFJYB19311310 12202012 12193113 164.881533466533 14.3868541172175
YYCFJYB20153210 12202032 12201532 156.990356415479 15.8608695652174
YYCFJYB19348405 12202012 12193484 152.923152173913 16.3465954606142
YYCFJYA18612916 11201842 11186129 164.904932885906 12.5085282222613
