id HYSS litter adj_age adj_bf
DDCFJYA19719710 11202012 11197197 150.755379844961 13.5839563154131
DDCFJYA18524109 11201832 11185241 140.818118353345 15.5322304903329
DDCFJYA19786006 11202022 11197860 182.096889243876 15.2928553277564
DDCFJYA19728310 11202012 11197283 147.325655172414 13.7017438434276
DDCFJYA19497606 11202042 11194976 155.373458471761 11.7130227977034
DDCFJYA18885002 11201912 11188850 172.881652173913 15.1608503228615
DDCFJYB20486701 12202111 12204867 145.170180223285 8.63542996049833
DDCFJYA20121603 11202031 11201216 151.916970749543 14.6994119681771
DDCFJYA19612903 11202041 11196129 156.616375352775 15.8595343877732
DDCFJYA18872305 11201912 11188723 159.038702044791 11.6977076160887
DDCFJYA18819305 11201912 11188193 138.169054841474 13.7950338749474
DDCFJYA17083112 11201842 11170831 157.111535331906 12.8091457994912
DDCFJYA20980606 11202032 11209806 182.256757575758 10.6906209402053
DDCFJYA20835908 11202021 11208359 140.404625 17.4572769953052
DDCFJYA18408705 11201821 11184087 147.978967105263 12.4655819774718
DDCFJYB20136211 12202031 12201362 140.065635514019 15.0109501942776
DDCFJYA18762604 11201942 11187626 152.444102493075 12.9696846099964
DDCFJYB20232107 12202031 12202321 136.956597765363 14.9581133403731
DDCFJYA15203901 11201531 11152039 149.533801512287 10.0512674044984
DDCFJYA14096703 11201511 11140967 168.821101167315 11.2046955245781
DDCFJYA14084704 11201511 11140847 159.676250237869 13.6449793425543
DDCFJYB19300801 12202011 12193008 148.521866043614 11.5992869875223
DDCFJYB20454003 12202111 12204540 157.4578 7.12368180432795
DDCFJYA19124802 11201921 11191248 160.181957746479 12.2504878481462
DDCFJYA19420103 11201931 11194201 177.781468134415 12.6284849794683
DDCFJYB20306803 12202141 12203068 157.49306504065 10.439863819251
DDCFJYB19325902 12202011 12193259 155.299607521697 12.6591231580862
DDCFJYA20936801 11202021 11209368 156.015516052319 9.29041399158734
DDCFJYA19719302 11202011 11197193 157.533670050761 11.9689898797021
DDCFJYA20949413 11202032 11209494 147.634767605634 12.918442425115
DDCFJYB20227504 12202032 12202275 160.440310344828 9.25105868978258
